temperature,humidity,pm25,co2,target
14.8,52.1,1407.0,787.0,0
12.0,58.9,1307.0,623.0,0
10.9,62.1,1333.0,650.0,0
10.6,63.3,1551.0,885.0,0
11.5,60.0,2094.0,1384.0,1
14.3,50.6,2468.0,1682.0,1
21.3,24.2,1544.0,1034.0,0
20.2,28.5,1606.0,1062.0,0
17.0,43.1,1932.0,1249.0,1
15.6,47.4,1993.0,1325.0,1
15.3,47.4,1965.0,1325.0,1
14.5,49.7,1758.0,1131.0,1
13.9,52.0,1561.0,916.0,0
14.5,49.4,1370.0,729.0,0
13.8,51.4,1359.0,700.0,0
14.0,51.3,1309.0,636.0,0
13.0,56.8,1330.0,621.0,0
8.8,80.5,1212.0,459.0,0
9.6,75.4,1287.0,567.0,0
9.8,75.0,1429.0,745.0,0
10.0,74.2,1829.0,1124.0,1
11.2,69.7,2095.0,1325.0,1
12.0,62.9,1857.0,1185.0,1
12.8,55.8,1794.0,1166.0,1
13.1,54.8,1746.0,1097.0,0
13.8,53.4,1847.0,1207.0,1
16.0,42.4,1639.0,1064.0,0
14.1,49.8,1589.0,980.0,0
12.0,61.1,1570.0,927.0,0
13.6,54.6,1719.0,1111.0,0
13.7,49.5,1514.0,953.0,0
11.7,57.1,1688.0,1084.0,0
11.5,58.2,1722.0,1126.0,1
12.6,54.2,1487.0,884.0,0
12.0,54.9,1375.0,776.0,0
11.0,61.4,1425.0,782.0,0
11.1,62.2,1411.0,756.0,0
10.8,62.5,1405.0,744.0,0
11.3,60.0,1326.0,634.0,0
10.9,58.6,1255.0,522.0,0
10.8,57.2,1255.0,561.0,0
10.4,59.2,1403.0,751.0,0
11.0,57.3,1706.0,1109.0,1
11.2,56.9,2080.0,1395.0,1
12.1,54.9,1770.0,1124.0,1
15.1,44.3,1505.0,898.0,0
15.6,40.6,1440.0,842.0,0
16.9,34.6,1477.0,927.0,0
16.6,35.6,1566.0,1009.0,0
9.6,81.1,1730.0,1028.0,1
11.7,69.1,1783.0,1096.0,1
10.7,68.5,1722.0,1050.0,1
10.7,67.3,2008.0,1302.0,1
10.8,65.7,1744.0,1130.0,1
10.3,66.3,1571.0,955.0,0
10.1,66.9,1435.0,809.0,0
10.4,61.1,1354.0,739.0,0
10.3,59.9,1341.0,737.0,0
11.0,58.4,1249.0,621.0,0
9.1,68.1,1253.0,568.0,0
9.3,72.3,1212.0,490.0,0
9.9,66.8,1158.0,457.0,0
7.6,83.2,1268.0,540.0,0
8.1,79.0,1383.0,697.0,0
8.7,74.6,1721.0,1035.0,1
8.6,75.1,1937.0,1235.0,1
9.7,69.7,1552.0,933.0,0
11.0,64.4,1468.0,849.0,0
13.6,53.0,1442.0,809.0,0
14.2,48.4,1570.0,935.0,0
14.2,46.3,1492.0,907.0,0
16.0,41.3,1501.0,924.0,0
17.7,35.4,1545.0,982.0,0
17.1,37.4,1527.0,957.0,0
14.9,40.5,1748.0,1137.0,0
13.4,47.8,2060.0,1418.0,1
12.6,52.5,1982.0,1341.0,1
12.2,53.2,1539.0,989.0,0
10.6,56.1,1376.0,798.0,0
9.9,59.5,1324.0,736.0,0
9.6,61.1,1373.0,787.0,0
9.7,61.6,1357.0,753.0,0
9.4,62.6,1313.0,690.0,0
8.0,69.4,1263.0,602.0,0
7.7,72.4,1312.0,654.0,0
8.0,71.8,1363.0,713.0,0
8.5,66.3,1438.0,842.0,0
9.8,59.6,1828.0,1201.0,1
11.2,57.0,1928.0,1278.0,1
14.8,44.1,1747.0,1142.0,1
16.8,35.3,1664.0,1098.0,0
19.2,27.1,1503.0,1014.0,0
19.1,26.2,1535.0,1068.0,0
16.3,30.8,1391.0,916.0,0
14.2,36.8,1279.0,776.0,0
13.4,41.0,1454.0,933.0,0
14.2,43.3,1588.0,1023.0,0
12.1,45.6,1580.0,1037.0,0
10.4,48.0,1540.0,1063.0,0
10.0,51.1,1490.0,1000.0,0
9.8,50.8,1308.0,811.0,0
9.7,50.4,1252.0,743.0,0
9.9,50.2,1258.0,715.0,0
9.4,53.4,1307.0,776.0,0
8.6,57.8,1232.0,664.0,0
8.1,62.1,1312.0,736.0,0
8.2,58.9,1212.0,578.0,0
6.3,66.6,1250.0,615.0,0
7.2,62.9,1266.0,669.0,0
7.2,63.9,1418.0,842.0,0
11.1,50.5,1530.0,919.0,0
15.5,36.1,1520.0,966.0,0
17.8,29.2,1451.0,955.0,0
17.6,30.1,1449.0,940.0,0
19.1,26.8,1467.0,979.0,0
17.7,28.6,1596.0,1072.0,0
17.8,28.4,1357.0,883.0,0
18.7,26.0,1538.0,1042.0,0
17.1,31.3,1508.0,1022.0,0
15.8,36.1,1586.0,1062.0,0
14.7,40.1,1621.0,1079.0,1
13.6,44.9,1633.0,1057.0,1
12.5,48.1,1475.0,930.0,0
11.8,50.8,1421.0,848.0,0
10.9,56.1,1483.0,924.0,0
10.9,55.9,1464.0,937.0,1
10.3,58.1,1451.0,912.0,1
9.3,62.2,1395.0,827.0,0
8.3,64.9,1396.0,769.0,0
9.6,58.5,1284.0,626.0,0
7.7,66.4,1342.0,688.0,0
7.4,68.0,1321.0,691.0,0
9.7,58.6,1382.0,747.0,0
12.5,50.1,1486.0,880.0,0
16.8,36.9,1501.0,938.0,0
19.2,31.3,1514.0,958.0,0
21.3,26.4,1438.0,887.0,0
21.2,23.1,1287.0,796.0,0
18.6,25.0,1189.0,700.0,0
18.0,27.3,1260.0,754.0,0
18.2,28.3,1244.0,727.0,0
17.0,31.4,1238.0,714.0,0
15.6,35.0,1301.0,746.0,0
14.1,40.2,1357.0,823.0,0
13.4,43.2,1329.0,789.0,0
12.3,46.8,1246.0,669.0,0
11.9,46.5,1224.0,666.0,0
11.5,46.6,1204.0,648.0,0
10.6,48.0,1156.0,598.0,0
10.7,45.8,1071.0,524.0,0
10.4,46.6,1076.0,509.0,0
11.3,46.9,1153.0,516.0,0
10.1,51.2,1180.0,559.0,0
9.9,50.7,1232.0,643.0,0
8.1,56.8,1687.0,1125.0,1
10.9,44.1,1806.0,1289.0,1
11.8,37.6,1258.0,786.0,0
13.9,33.2,1254.0,793.0,0
15.6,30.1,1293.0,803.0,0
16.5,29.0,1272.0,786.0,0
17.5,27.9,1332.0,833.0,0
17.9,26.8,1268.0,790.0,0
18.2,26.1,1247.0,776.0,0
18.0,27.1,1289.0,801.0,0
17.0,28.9,1358.0,896.0,0
16.1,31.3,1477.0,985.0,0
14.5,35.4,1404.0,907.0,0
13.2,37.9,1302.0,797.0,0
13.1,34.4,1178.0,700.0,0
13.5,28.5,1137.0,710.0,0
12.4,31.9,1089.0,643.0,0
13.1,26.8,1050.0,630.0,0
11.6,33.6,1055.0,569.0,0
10.5,42.9,1130.0,563.0,0
12.9,33.9,1117.0,605.0,0
11.3,40.3,1266.0,779.0,0
11.9,38.4,1587.0,1096.0,1
13.3,35.6,1947.0,1399.0,1
16.3,28.8,1852.0,1337.0,1
17.9,28.2,1872.0,1324.0,1
18.3,26.6,1754.0,1251.0,1
20.8,22.5,1763.0,1267.0,1
22.4,20.0,1711.0,1213.0,1
20.9,21.7,1448.0,992.0,0
19.1,26.5,1372.0,897.0,0
18.1,30.6,1325.0,820.0,0
17.3,34.7,1527.0,968.0,0
15.8,40.4,1532.0,962.0,0
15.9,42.0,1638.0,1047.0,1
15.9,43.5,1534.0,928.0,1
15.0,46.1,1360.0,746.0,0
15.1,44.6,1323.0,701.0,0
14.9,43.5,1360.0,747.0,0
14.8,41.0,1287.0,702.0,0
14.8,40.8,1240.0,631.0,0
14.8,40.8,1256.0,639.0,0
14.5,36.1,1064.0,477.0,0
14.6,36.0,1131.0,545.0,0
14.4,38.5,1279.0,684.0,0
13.8,58.2,1926.0,1168.0,1
13.2,61.1,1957.0,1295.0,1
10.4,74.4,1576.0,924.0,1
11.5,71.0,1498.0,837.0,0
12.2,70.0,1579.0,886.0,1
12.3,73.3,1772.0,1025.0,1
11.3,78.1,1638.0,944.0,0
13.6,69.2,1748.0,1023.0,1
14.9,59.3,1799.0,1100.0,1
15.7,50.9,1637.0,980.0,0
15.2,52.9,1681.0,1026.0,0
15.5,50.8,1712.0,1041.0,1
14.3,52.9,1669.0,1033.0,0
13.2,56.0,1588.0,953.0,0
12.6,57.0,1418.0,787.0,0
12.3,57.8,1409.0,769.0,0
12.0,58.4,1395.0,754.0,0
12.0,61.6,1477.0,825.0,0
11.5,63.9,1425.0,770.0,0
10.7,67.2,1405.0,716.0,0
10.2,66.6,1322.0,615.0,0
11.0,63.7,1340.0,648.0,0
9.6,68.8,1561.0,876.0,0
9.5,69.6,1949.0,1291.0,1
11.9,60.9,2439.0,1595.0,1
16.2,48.6,2001.0,1323.0,1
19.2,39.6,1701.0,1040.0,1
19.7,38.4,1489.0,850.0,0
20.6,36.7,1524.0,875.0,0
21.8,33.9,1542.0,924.0,0
23.6,27.5,1193.0,1193.0,1
22.8,32.1,2028.0,1331.0,1
20.8,36.7,2089.0,1429.0,1
18.3,40.9,1922.0,1302.0,1
16.8,44.0,1604.0,1007.0,0
15.8,48.0,1570.0,976.0,0
14.9,52.0,1529.0,920.0,0
14.1,54.4,1514.0,899.0,0
13.3,58.8,1442.0,795.0,0
13.3,60.9,1350.0,667.0,0
11.3,72.9,1372.0,628.0,0
11.4,71.8,1448.0,727.0,0
11.9,73.7,1833.0,1083.0,1
12.6,70.2,2060.0,1306.0,1
13.6,65.3,2054.0,1316.0,1
16.9,52.3,1898.0,1177.0,1
19.4,44.1,1821.0,1123.0,1
22.9,33.8,1825.0,1176.0,1
23.6,31.3,1773.0,1183.0,1
24.7,30.5,1761.0,1139.0,1
26.1,27.3,1703.0,1116.0,1
27.6,22.8,1632.0,1103.0,0
26.9,22.3,1799.0,1288.0,1
24.3,30.1,1915.0,1385.0,1
21.2,40.1,2052.0,1407.0,1
19.4,42.5,2083.0,1439.0,1
18.5,43.0,1685.0,1121.0,1
17.8,47.0,1582.0,982.0,1
16.8,53.2,1684.0,1052.0,1
17.1,51.8,1566.0,941.0,0
16.2,54.2,1488.0,827.0,0
15.1,58.2,1455.0,777.0,0
14.5,58.0,1380.0,651.0,0
13.7,61.6,1387.0,673.0,0
13.9,59.6,1398.0,683.0,0
13.3,61.7,1660.0,959.0,1
15.1,55.8,1872.0,1154.0,1
17.0,50.5,1816.0,1126.0,1
15.6,57.4,1836.0,1127.0,1
16.6,55.2,1853.0,1107.0,1
17.0,54.3,1942.0,1171.0,1
18.0,51.5,1915.0,1162.0,1
19.5,47.5,1793.0,1069.0,1
21.6,41.7,1705.0,971.0,1
22.2,38.3,1662.0,963.0,1
20.3,42.8,1877.0,1190.0,1
19.7,45.4,2011.0,1290.0,1
18.8,47.5,1957.0,1239.0,1
17.9,49.4,1796.0,1102.0,1
17.5,50.9,1622.0,928.0,0
17.4,51.8,1589.0,885.0,0
17.0,53.9,1554.0,869.0,0
16.6,55.4,1428.0,718.0,0
15.9,57.0,1382.0,635.0,0
15.0,59.2,1336.0,547.0,0
14.1,61.6,1360.0,569.0,0
14.6,58.8,1435.0,677.0,0
14.4,58.9,1641.0,920.0,0
15.3,55.2,2198.0,1407.0,1
16.2,52.5,2560.0,1636.0,1
18.4,46.3,2096.0,1350.0,1
19.6,41.8,1823.0,1119.0,1
20.2,40.1,1580.0,884.0,0
20.9,36.6,1818.0,1132.0,1
20.4,34.7,1704.0,1103.0,1
19.3,35.4,1630.0,1032.0,0
18.6,36.9,1519.0,947.0,0
18.8,36.8,1590.0,988.0,0
17.5,40.6,1716.0,1116.0,0
16.8,44.3,1776.0,1148.0,1
16.3,47.7,1784.0,1150.0,1
15.6,50.7,1807.0,1142.0,1
15.7,49.4,1527.0,918.0,0
15.8,48.6,1458.0,808.0,0
15.7,47.0,1393.0,752.0,0
15.7,45.9,1352.0,710.0,0
15.6,44.9,1271.0,603.0,0
15.6,44.4,1214.0,538.0,0
15.7,45.4,1166.0,468.0,0
15.3,50.1,1200.0,478.0,0
14.2,58.6,1398.0,688.0,0
14.3,58.2,1769.0,1082.0,1
15.0,52.0,1821.0,1171.0,1
13.6,61.4,1576.0,925.0,0
16.1,53.1,1554.0,876.0,0
16.6,44.3,1448.0,839.0,0
17.4,40.3,1474.0,892.0,0
18.1,42.2,1604.0,943.0,0
14.4,51.8,1426.0,817.0,0
10.9,76.4,1552.0,880.0,0
16.4,47.7,1421.0,808.0,0
18.0,37.1,1623.0,1073.0,0
14.7,48.7,1700.0,1101.0,0
11.3,71.3,1748.0,1133.0,1
10.0,74.0,1632.0,1013.0,0
9.8,71.8,1282.0,666.0,0
9.3,75.2,1391.0,727.0,0
9.6,76.0,1510.0,861.0,0
9.3,75.0,1398.0,752.0,0
9.0,76.7,1455.0,798.0,0
8.2,79.6,1383.0,716.0,0
8.1,72.1,1288.0,642.0,0
8.1,70.4,1384.0,754.0,0
8.1,70.5,1723.0,1109.0,1
9.9,64.3,2189.0,1482.0,1
13.0,54.2,1885.0,1271.0,1
16.5,42.6,1620.0,1041.0,0
19.3,34.2,1678.0,1075.0,0
21.5,27.4,1541.0,1026.0,0
20.4,26.7,1609.0,1123.0,0
20.6,22.6,1551.0,1114.0,0
20.6,24.8,1552.0,1089.0,0
21.0,25.4,1454.0,1004.0,0
21.5,24.5,1798.0,1287.0,1
19.3,28.6,1972.0,1404.0,1
18.0,32.9,2167.0,1530.0,1
15.8,39.8,1699.0,1172.0,1
15.3,41.5,1410.0,857.0,0
14.1,46.0,1411.0,824.0,0
12.0,67.9,1560.0,917.0,0
12.0,66.9,1449.0,783.0,0
11.5,70.1,1533.0,854.0,0
11.4,69.8,1507.0,832.0,0
10.8,70.3,1386.0,669.0,0
10.2,73.4,1435.0,708.0,0
10.8,70.5,1500.0,812.0,0
11.0,71.0,1591.0,906.0,0
12.4,64.0,1663.0,976.0,0
15.0,53.1,1588.0,931.0,0
16.6,44.4,1542.0,917.0,0
18.0,38.4,1481.0,877.0,0
20.6,30.0,1457.0,892.0,0
19.9,26.7,1336.0,829.0,0
19.8,23.1,1238.0,766.0,0
21.4,22.7,1318.0,852.0,0
22.1,21.3,1296.0,850.0,0
21.1,24.5,1357.0,875.0,0
18.3,31.6,1426.0,927.0,0
16.1,35.0,1534.0,1022.0,0
14.8,41.5,1551.0,996.0,0
13.2,50.3,1487.0,909.0,0
12.3,55.5,1618.0,1037.0,0
11.8,56.6,1545.0,967.0,0
11.2,56.2,1326.0,770.0,0
11.0,56.6,1304.0,711.0,0
9.3,64.3,1310.0,694.0,0
7.7,70.7,1306.0,643.0,0
7.4,71.0,1301.0,644.0,0
8.2,66.6,1298.0,651.0,0
8.7,64.3,1343.0,694.0,0
13.0,47.9,1320.0,706.0,0
17.4,35.4,1386.0,823.0,0
20.2,29.2,1412.0,870.0,0
22.7,22.9,1425.0,945.0,0
22.3,22.4,1200.0,710.0,0
22.2,18.9,1076.0,606.0,0
22.0,19.0,1108.0,658.0,0
21.0,23.6,1150.0,665.0,0
19.6,27.4,1183.0,672.0,0
17.9,30.8,1233.0,709.0,0
16.4,35.3,1285.0,797.0,0
15.6,37.5,1205.0,674.0,0
15.5,36.7,1217.0,680.0,0
14.5,39.0,1186.0,648.0,0
14.2,38.2,1187.0,661.0,0
13.7,38.3,1094.0,556.0,0
14.1,34.0,1036.0,514.0,0
14.6,34.0,1111.0,581.0,0
13.9,30.9,955.0,462.0,0
13.5,37.9,1003.0,448.0,0
13.9,43.6,1117.0,472.0,0
13.5,50.1,1185.0,494.0,0
13.3,53.6,1246.0,541.0,0
13.4,56.0,1293.0,598.0,0
13.0,59.6,1325.0,646.0,0
12.7,62.7,1384.0,707.0,0
12.1,60.5,1305.0,641.0,0
11.2,64.4,1229.0,536.0,0
10.7,67.6,1257.0,563.0,0
11.4,61.2,1325.0,689.0,0
9.9,70.5,1301.0,660.0,0
10.3,65.2,1313.0,682.0,0
11.0,58.9,1324.0,705.0,0
10.6,59.5,1369.0,776.0,0
10.6,57.7,1292.0,692.0,0
10.6,56.1,1233.0,635.0,0
10.3,58.0,1234.0,626.0,0
10.4,58.4,1230.0,610.0,0
10.7,58.2,1219.0,587.0,0
10.5,59.9,1176.0,532.0,0
10.5,60.8,1182.0,518.0,0
11.1,60.1,1171.0,489.0,0
10.1,68.4,1356.0,656.0,0
10.0,68.7,1531.0,853.0,0
11.0,64.2,2011.0,1272.0,1
12.0,58.1,2057.0,1354.0,1
12.8,52.0,1641.0,1042.0,0
12.6,50.8,1426.0,871.0,0
13.8,47.4,1471.0,900.0,0
15.1,42.7,1429.0,866.0,0
16.3,38.1,1439.0,885.0,0
16.6,36.7,1537.0,966.0,0
15.8,40.5,1527.0,971.0,0
16.3,41.8,1462.0,887.0,0
16.1,42.8,1791.0,1158.0,1
15.3,46.8,2004.0,1337.0,1
14.7,47.0,1995.0,1343.0,1
14.1,49.6,1747.0,1138.0,1
13.5,54.1,1577.0,952.0,0
12.3,59.2,1586.0,954.0,0
11.6,62.2,1463.0,847.0,0
11.5,61.4,1379.0,760.0,0
10.9,64.6,1364.0,705.0,0
11.1,63.2,1307.0,635.0,0
10.2,65.8,1346.0,670.0,0
10.3,65.6,1535.0,875.0,0
10.8,64.0,1921.0,1246.0,1
13.3,55.6,2278.0,1497.0,1
15.8,46.8,1906.0,1248.0,1
19.5,34.4,1662.0,1061.0,0
21.1,30.2,1518.0,935.0,0
18.4,34.2,1571.0,993.0,0
13.5,53.4,1889.0,1270.0,1
15.0,49.3,1804.0,1219.0,1
17.1,42.1,1809.0,1225.0,1
18.4,36.9,1792.0,1210.0,1
19.3,35.4,1783.0,1210.0,1
19.2,35.7,1890.0,1282.0,1
21.5,30.4,1734.0,1143.0,1
19.6,34.6,1676.0,1116.0,1
19.6,35.5,2046.0,1413.0,1
18.3,44.1,2271.0,1507.0,1
17.4,47.8,2446.0,1637.0,1
16.8,49.8,2119.0,1409.0,1
16.2,53.2,1960.0,1290.0,1
14.9,59.1,1607.0,952.0,1
13.9,64.0,1532.0,868.0,0
13.7,66.8,1547.0,863.0,0
13.4,69.6,1566.0,844.0,0
12.8,71.9,1532.0,810.0,0
11.9,74.8,1420.0,686.0,0
11.6,76.4,1505.0,782.0,0
11.7,75.3,1686.0,978.0,0
12.8,71.0,2176.0,1384.0,1
13.8,61.1,1890.0,1258.0,1
15.3,51.4,1590.0,973.0,0
16.6,48.7,1604.0,983.0,0
17.6,46.7,1666.0,1014.0,0
19.2,42.7,1644.0,997.0,0
15.7,62.5,2047.0,1267.0,1
14.5,75.7,2066.0,1266.0,1
14.4,77.4,1980.0,1223.0,1
14.6,74.9,1963.0,1230.0,1
14.6,76.0,2159.0,1378.0,1
14.0,76.3,2083.0,1309.0,1
13.9,78.0,2298.0,1474.0,1
13.8,78.0,2039.0,1295.0,1
13.5,79.4,1811.0,1067.0,1
13.1,80.1,1680.0,963.0,0
12.8,81.0,1695.0,977.0,1
12.7,80.6,1627.0,904.0,0
12.5,81.8,1599.0,863.0,0
12.7,81.2,1565.0,829.0,0
14.2,52.2,1321.0,646.0,0
14.3,55.4,1418.0,757.0,0
14.0,58.0,2119.0,1368.0,1
15.4,53.3,2417.0,1576.0,1
19.1,42.1,2030.0,1354.0,1
23.7,31.0,1887.0,1247.0,1
26.9,25.7,1947.0,1350.0,1
29.7,20.6,1838.0,1299.0,1
29.2,21.5,1835.0,1265.0,1
29.6,20.1,1865.0,1312.0,1
30.0,19.4,1953.0,1438.0,1
29.5,20.1,1985.0,1449.0,1
27.0,26.8,2228.0,1566.0,1
24.9,30.8,2087.0,1483.0,1
23.1,36.7,2335.0,1608.0,1
21.5,40.8,1975.0,1319.0,1
20.5,41.5,1619.0,1010.0,0
19.2,44.9,1687.0,1083.0,1
18.8,47.7,1659.0,1043.0,1
18.2,49.7,1729.0,1098.0,1
16.1,57.4,1763.0,1097.0,1
16.3,55.3,1597.0,938.0,0
14.8,57.7,1403.0,697.0,0
14.0,59.7,1483.0,800.0,0
14.6,56.8,1639.0,979.0,0
16.7,51.9,1838.0,1147.0,1
20.0,45.0,1874.0,1169.0,1
23.9,33.7,1727.0,1059.0,1
26.8,29.5,1808.0,1130.0,1
27.2,32.4,1840.0,1136.0,1
26.9,32.1,1623.0,929.0,0
24.3,41.8,1766.0,1016.0,1
25.6,36.0,1610.0,938.0,0
27.0,31.8,1691.0,1003.0,1
27.5,31.6,1634.0,973.0,1
24.9,38.1,1899.0,1171.0,1
23.4,39.7,1970.0,1280.0,1
21.2,50.8,1863.0,1203.0,1
15.6,73.5,1584.0,850.0,0
12.9,79.7,1404.0,650.0,0
11.5,76.9,1365.0,667.0,0
12.2,66.8,1321.0,661.0,0
12.4,64.1,1359.0,707.0,0
12.7,58.7,1317.0,689.0,0
12.5,50.9,1098.0,471.0,0
12.8,49.3,1148.0,505.0,0
13.5,48.6,1184.0,535.0,0
14.4,45.9,1180.0,553.0,0
15.1,43.9,1206.0,603.0,0
16.6,38.6,1216.0,621.0,0
17.2,35.0,1193.0,635.0,0
17.4,33.9,1185.0,636.0,0
17.9,30.7,1145.0,596.0,0
18.3,27.2,1104.0,584.0,0
19.4,25.7,1181.0,675.0,0
20.2,24.1,1219.0,739.0,0
19.6,24.9,1219.0,748.0,0
18.5,27.8,1344.0,811.0,0
17.8,30.3,1550.0,1039.0,0
16.6,34.0,1419.0,907.0,0
15.5,37.0,1310.0,769.0,0
14.8,39.5,1654.0,1083.0,0
14.5,42.0,1379.0,858.0,0
14.1,44.9,1283.0,703.0,0
14.2,45.5,1220.0,601.0,0
14.1,45.3,1152.0,527.0,0
