vehicle_count,avg_speed,traffic_density,weather,target
24,108.2,0.01,1,0
52,108.1,0.75,2,0
173,108.0,0.2,2,0
376,107.9,0.2,2,0
462,108.1,0.4,2,1
410,108.3,0.75,2,1
363,108.6,0.75,2,1
318,109.1,0.75,2,0
340,109.6,0.9,2,0
352,109.8,0.9,2,0
352,110.0,0.9,2,0
370,110.1,0.9,2,0
401,110.4,0.9,2,0
427,110.5,0.9,2,1
412,110.4,0.9,2,1
314,110.2,0.75,2,1
223,109.9,0.75,2,1
195,109.8,0.9,2,0
177,109.3,0.75,2,0
136,109.0,0.4,2,0
91,108.7,0.4,2,0
37,108.3,0.4,2,0
24,108.0,0.01,1,0
18,107.9,0.01,1,0
23,107.8,0.01,1,0
53,107.8,0.01,1,0
179,107.6,0.01,1,0
383,107.6,0.01,1,0
474,107.4,0.01,1,1
418,107.5,0.2,2,1
365,108.1,0.2,2,1
314,109.0,0.2,2,0
330,109.7,0.2,2,0
346,110.3,0.2,2,0
347,110.5,0.4,2,0
362,110.7,0.2,2,0
408,110.9,0.2,2,0
421,111.0,0.4,2,1
400,110.8,0.2,2,1
277,110.3,0.2,2,1
186,109.8,0.2,2,1
185,109.3,0.2,2,0
174,108.8,0.01,1,0
132,108.4,0.01,1,0
101,108.0,0.01,1,0
49,107.6,0.01,1,0
31,107.4,0.01,1,0
22,107.1,0.01,1,0
27,107.0,0.01,1,0
53,106.9,0.01,1,0
177,106.7,0.01,1,0
384,106.6,0.01,1,0
471,106.7,0.01,1,1
405,106.6,0.2,2,1
366,107.4,0.01,1,1
327,108.2,0.01,1,0
348,109.0,0.2,2,0
363,109.9,0.2,2,0
356,110.4,0.2,2,0
377,110.8,0.01,1,0
392,111.3,0.01,1,0
434,111.3,0.01,1,1
433,111.3,0.2,2,1
334,110.7,0.2,2,1
240,110.3,0.4,2,1
214,109.9,0.4,2,0
187,109.8,0.9,2,0
125,110.1,0.9,2,0
84,110.0,0.9,2,0
42,109.9,0.9,2,0
30,109.5,0.75,2,0
23,109.3,0.4,2,0
25,109.4,0.75,2,0
49,109.6,0.75,2,0
163,109.8,0.9,2,0
360,109.9,0.9,2,0
447,109.7,0.9,2,1
393,109.5,0.75,2,1
360,109.7,0.4,2,1
324,109.8,0.9,2,0
366,109.9,0.9,2,0
371,109.9,0.75,2,0
374,110.2,0.75,2,0
389,110.2,0.01,1,0
418,110.3,0.4,2,0
434,110.2,0.4,2,1
402,109.9,0.4,2,1
343,109.4,0.4,2,1
253,108.8,0.4,2,1
199,108.7,0.2,2,0
201,108.1,0.2,2,0
187,108.0,0.01,1,0
116,107.7,0.01,1,0
80,107.7,0.2,2,0
50,107.7,0.75,2,0
39,107.5,0.75,2,0
24,107.2,0.2,2,0
26,107.0,0.2,2,0
48,106.9,0.01,1,0
84,106.9,0.2,2,0
141,106.8,0.2,2,1
223,106.8,0.4,2,1
302,107.6,0.75,2,1
314,108.0,0.75,2,0
293,108.3,0.75,2,0
332,108.6,0.75,2,0
305,108.8,0.75,2,0
302,108.9,0.4,2,0
296,109.0,0.4,2,0
303,109.1,0.75,2,1
283,109.1,0.75,2,1
275,109.1,0.75,2,1
234,109.1,0.9,2,1
191,109.0,0.9,2,0
177,109.0,0.9,2,0
175,108.9,0.9,2,0
134,108.9,0.9,2,0
146,108.9,0.9,2,0
50,108.9,0.9,2,0
24,108.8,0.9,2,0
15,108.8,0.9,2,0
34,108.8,0.9,2,0
49,108.7,0.9,2,0
80,108.7,0.9,2,1
142,108.7,0.9,3,1
200,108.8,0.9,2,1
242,109.0,0.9,2,0
259,109.2,0.9,2,0
279,109.3,0.9,2,0
278,109.4,0.9,2,0
288,109.7,0.9,2,0
282,109.8,0.9,2,0
276,109.8,0.9,2,1
249,109.7,0.9,2,1
251,109.6,0.9,2,1
195,109.5,0.9,2,1
168,109.4,0.9,2,0
134,109.4,0.9,2,0
100,109.2,0.9,2,0
69,109.2,0.9,3,0
118,109.0,0.9,2,0
89,108.9,0.75,2,0
21,108.7,0.4,2,0
28,108.6,0.2,2,0
52,108.2,0.75,2,0
176,107.9,0.2,2,0
389,107.8,0.2,2,0
472,107.8,0.01,1,1
411,107.9,0.9,2,1
343,108.5,0.9,2,1
303,109.0,0.9,2,0
314,109.4,0.9,2,0
323,109.6,0.9,2,0
319,109.8,0.9,2,0
341,109.9,0.46,1,0
421,110.5,0.46,1,1
421,110.5,0.46,1,1
293,110.1,0.46,1,1
166,110.5,0.46,1,0
135,110.5,0.46,1,0
100,110.5,0.46,1,0
64,110.5,0.46,1,0
37,110.5,0.46,1,0
21,108.5,0.98,1,0
18,108.5,0.98,1,0
24,108.5,0.98,1,0
54,108.5,0.98,1,0
176,108.5,0.98,1,0
366,108.5,0.98,1,0
425,108.7,0.99,1,1
425,108.7,0.99,1,1
393,108.7,0.99,1,1
317,108.7,0.99,1,0
320,109.4,0.9,2,0
345,109.7,0.9,2,0
377,109.7,0.9,2,0
410,109.8,0.9,2,0
426,109.8,0.9,2,1
375,109.9,0.9,2,1
269,109.9,0.9,2,1
195,109.9,0.9,2,1
168,110.0,0.9,2,0
143,109.9,0.9,2,0
115,109.8,0.9,2,0
101,109.8,0.9,2,0
54,109.7,0.9,2,0
56,109.4,0.9,3,0
46,109.4,0.9,3,0
33,109.3,0.9,3,0
54,109.4,0.9,3,0
180,109.5,0.9,3,0
398,109.5,0.9,3,0
487,109.5,0.9,2,1
430,109.6,0.9,2,1
359,109.7,0.9,2,1
314,109.8,0.9,2,0
328,109.9,0.9,2,0
344,110.0,0.9,2,0
336,110.0,0.9,2,0
369,109.9,0.9,3,0
390,109.8,0.9,3,0
430,109.7,0.9,3,1
416,109.6,0.9,2,1
335,109.5,0.9,2,1
201,109.4,0.9,2,1
178,109.4,0.9,2,0
161,109.3,0.9,2,0
106,109.3,0.9,3,0
84,109.3,0.9,2,0
54,109.3,0.9,2,0
25,109.2,0.9,2,0
20,109.1,0.9,2,0
27,109.1,0.9,2,0
54,109.1,0.9,2,0
184,109.1,0.9,2,0
386,109.1,0.9,2,0
469,109.1,0.9,2,1
431,109.3,0.9,2,1
375,109.5,0.9,2,1
321,109.8,0.9,2,0
348,109.9,0.9,2,0
360,110.3,0.9,2,0
346,110.3,0.75,2,0
372,110.5,0.9,2,0
403,110.5,0.9,2,0
450,110.4,0.9,2,1
426,110.2,0.9,2,1
322,110.0,0.9,2,1
228,109.6,0.4,2,1
222,109.3,0.75,2,0
192,109.2,0.75,2,0
134,109.1,0.4,2,0
81,109.0,0.9,2,0
45,109.0,0.75,2,0
29,109.0,0.4,2,0
23,108.9,0.4,2,0
25,108.8,0.4,2,0
47,108.8,0.2,2,0
170,108.8,0.2,2,0
380,108.8,0.01,1,0
473,108.8,0.01,1,1
406,109.0,0.01,1,1
359,109.4,0.01,1,1
324,109.9,0.01,1,0
364,111.0,0.75,2,0
377,111.1,0.01,1,0
380,111.7,0.4,2,0
399,111.8,0.4,2,0
409,111.8,0.75,2,0
443,111.6,0.4,2,1
423,111.0,0.4,2,1
366,110.2,0.2,2,1
243,109.8,0.2,2,1
219,109.7,0.01,1,0
202,109.6,0.01,1,0
171,109.5,0.2,2,0
117,109.4,0.2,2,0
75,109.2,0.01,1,0
50,109.0,0.01,1,0
37,108.9,0.01,1,0
25,108.9,0.2,2,0
27,108.8,0.2,2,0
48,108.8,0.75,2,0
89,108.7,0.4,2,0
133,108.8,0.4,2,1
203,109.0,0.2,2,1
242,109.6,0.2,2,1
264,110.3,0.2,2,0
298,110.9,0.2,2,0
327,111.3,0.2,2,0
300,111.6,0.75,2,0
300,111.6,0.75,2,0
312,111.6,0.01,1,0
310,111.3,0.01,1,1
321,110.8,0.9,2,1
276,110.5,0.9,2,1
215,110.4,0.9,2,1
200,110.4,0.9,2,0
196,110.3,0.9,2,0
226,110.4,0.9,2,0
154,110.4,0.9,2,0
95,110.4,0.9,2,0
63,110.3,0.9,2,0
43,110.3,0.9,2,0
23,110.4,0.9,3,0
21,110.3,0.9,2,0
32,110.3,0.9,2,0
54,110.2,0.9,2,0
77,110.3,0.9,2,1
123,110.3,0.9,2,1
185,110.4,0.9,2,1
272,110.6,0.9,2,0
281,111.0,0.9,2,0
255,111.4,0.9,2,0
256,111.9,0.75,2,0
252,112.8,0.2,2,0
276,113.4,0.2,2,0
286,113.9,0.2,2,1
250,113.6,0.2,2,1
233,113.0,0.2,2,1
183,113.3,0.4,2,1
149,114.0,0.9,2,0
132,113.9,0.87,1,0
197,112.9,0.87,1,0
69,112.9,0.87,1,0
24,111.2,0.98,1,0
18,111.2,0.98,1,0
23,111.2,0.98,1,0
52,111.2,0.98,1,0
169,111.2,0.98,1,0
360,111.2,0.98,1,0
370,108.3,0.99,1,1
139,108.3,0.99,1,1
144,108.3,0.99,1,1
199,107.9,0.9,2,0
292,107.8,0.9,4,0
285,107.7,0.9,4,0
300,107.7,0.9,2,0
317,107.5,0.9,2,0
327,107.5,0.9,2,0
356,107.3,0.9,2,1
356,107.1,0.9,2,1
265,107.0,0.9,2,1
181,107.0,0.9,2,1
153,106.8,0.9,4,0
133,106.7,0.9,4,0
99,106.6,0.9,4,0
165,106.2,0.9,4,0
62,106.1,0.9,4,0
25,106.0,0.9,2,0
20,106.0,0.9,4,0
22,105.8,0.75,2,0
53,105.8,0.9,2,0
177,105.8,0.2,4,0
381,105.9,0.75,4,0
448,106.1,0.9,4,1
429,106.1,0.9,4,1
373,106.1,0.75,4,1
320,106.4,0.75,4,0
327,106.5,0.9,4,0
339,106.7,0.9,4,0
338,106.8,0.9,2,0
371,106.8,0.9,2,0
389,106.9,0.75,2,0
442,106.8,0.9,2,1
427,106.8,0.9,2,1
297,106.5,0.9,2,1
202,106.5,0.9,2,1
179,106.5,0.75,2,0
151,106.4,0.2,2,0
107,106.4,0.01,1,0
92,106.2,0.2,2,0
37,105.9,0.2,2,0
22,105.8,0.01,1,0
17,105.8,0.01,1,0
25,105.5,0.01,1,0
55,105.3,0.01,1,0
180,105.4,0.01,1,0
394,105.4,0.01,1,0
466,105.5,0.01,1,1
426,105.9,0.01,1,1
358,106.8,0.01,1,1
334,107.7,0.4,2,0
376,108.0,0.01,1,0
388,108.7,0.01,1,0
396,109.4,0.01,1,0
421,109.6,0.01,1,0
441,110.0,0.75,2,0
494,109.7,0.75,2,1
479,109.2,0.75,2,1
356,109.0,0.9,2,1
243,109.0,0.9,2,1
210,109.0,0.9,2,0
183,109.1,0.9,2,0
